,MSE,RMSE,MAE,Pearson r,Fac2
peak_t+1,1431.3304132605836,37.83292763269297,31.743765913646786,0.3234400181720951,0.9668307297239461
postinflex_t+1,2265.3496514465583,47.595689420855734,39.4897926162403,0.32793587022626214,0.957842927455596
preinflex_t+1,1004.2794681580659,31.6903686970989,25.907883963900208,0.3213389057988557,0.9450032099293816
Average,1566.9865109550692,39.03966191688254,32.38048083126243,0.3242382647324043,0.9565589557029747
