,MSE,RMSE,MAE,Pearson r,Fac2
peak_t+1_mean,1407.1108069837003,37.51076156708659,31.344175481370698,0.33411687993953004,0.9661149081432537
peak_t+1_std,21.306997198353315,0.28347920791454023,0.3516967790510956,0.010491886264306065,0.0010599284157122581
postinflex_t+1_mean,2223.1377543243693,47.14909342497044,38.981019573102564,0.33862280652586635,0.9580538691619104
postinflex_t+1_std,36.740352324677396,0.3887355034830208,0.4536206896204454,0.009297669000533365,0.0009846537944098843
preinflex_t+1_mean,995.0575517061825,31.54432534235653,25.820744654277423,0.32805904006859093,0.944000397088296
preinflex_t+1_std,8.843082999702714,0.14012709452221353,0.11004717601138465,0.012842762279464934,0.0021184098007770084
