,MSE,RMSE,MAE,Pearson r,Fac2
0,637548.614595,798.4664141934838,201.75139569580617,0.9702695438628437,0.3592499129829447
1,690466.5204769019,830.9431511703444,211.68193507169624,0.9682253810028008,0.35616080751827356
2,664211.1823020282,814.9915228405926,220.69924482766487,0.970395569587503,0.34928646014618864
3,619112.0101041842,786.836711207722,220.47290608470465,0.9732357344320561,0.3538548555516881
4,665926.0836875894,816.0429423060954,232.91948694175352,0.9721624321997184,0.34976505395057433
5,724751.2404235638,851.3232291107554,239.15162302001278,0.9704083884461571,0.3512443438914027
6,830543.532806926,911.3416114755904,257.24007273658077,0.966128462273142,0.3438914027149321
7,1012034.5695607956,1005.9992890458699,269.8814213231097,0.9586991860331441,0.3477201531500174
8,1137499.579866892,1066.5362534236199,291.25001627254517,0.9544008486452829,0.33649495301079013
9,1179149.4358829416,1085.8864746753877,295.4096813377005,0.9532908968740343,0.34175948485903235
10,1184810.8617139847,1088.4901752951125,305.5855224686054,0.9544535621014447,0.338844413505047
11,1275115.8620912444,1129.2102824944716,310.7228299735462,0.9528975124387563,0.34101983988861817
12,1432690.4732266176,1196.9504890456487,344.1671223954129,0.9482612007263893,0.3202227636616777
13,1602738.9161136087,1265.9932527915023,362.05539740746,0.9432684744962293,0.31426209537069266
14,1849914.156429261,1360.1154937832525,369.4493862506284,0.9351108399487861,0.3244430908458058
15,2088635.9597494076,1445.2113892954926,387.1472431190164,0.9273629828167305,0.32222415593456316
16,2132152.8419786533,1460.1893171704323,398.92627679401267,0.9270809287784056,0.31939610163592064
17,2188759.5100905593,1479.4456766270803,433.5182059009524,0.9267092219888683,0.2962060563870519
18,2320455.183444396,1523.3040351303466,434.2176377714365,0.9243895179898944,0.30299338670379394
19,2502871.025411422,1582.0464675259768,441.6811720353155,0.9201659431009322,0.3085624782457362
20,2718942.7027754546,1648.9216787875205,480.30917730241794,0.9147395933237614,0.2851983988861817
21,3016998.762625714,1736.9509960346359,482.76306224342346,0.9064748652336724,0.2957274625826662
22,3267180.5948076877,1807.5343965766426,513.2027765500434,0.8999667718208957,0.28389314305603897
23,3387336.0660162107,1840.4716966082935,517.9364815090245,0.897602078695673,0.28928820048729553
24,3444036.647343754,1855.811587242561,528.1395306200504,0.8981344902164186,0.2871997911590672
25,3578902.9004367185,1891.7988530593623,537.0112473477564,0.8955235564991781,0.28580751827358164
26,3784663.2317371494,1945.42109368053,550.954283268162,0.8914448761524483,0.28489383919248173
27,4049877.011516356,2012.4306227833931,569.3652155833339,0.8854124563420623,0.2825008701705534
28,4367153.054060134,2089.7734456299645,591.1734197187042,0.8781702343093309,0.2764096762965541
29,4676363.15352138,2162.4900354733154,613.1261264277882,0.8706198859918548,0.2710146188652976
Average,2101028.0561598847,1383.0309528161667,387.0636632666221,0.9318335145442804,0.31731784429748233
